equipment;address;start_bit;n_bit;type;var_name;alarm;up_addr
NCU;0;15;16;U16;HardwareId;0;0
NCU;1;15;8;U16;SoftwareId;0;0
NCU;30104;31;32;U32;NcuDatetime;0;0
NCU;30003;15;16;U16;ipAddress3;0;0
NCU;30004;15;16;U16;ipAddress2;0;0
NCU;30005;15;16;U16;ipAddress1;0;0
NCU;30006;15;16;U16;ipAddress0;0;0
NCU;30007;15;16;U16;macAddress5;0;0
NCU;30008;15;16;U16;macAddress4;0;0
NCU;30009;15;16;U16;macAddress3;0;0
NCU;30010;15;16;U16;macAddress2;0;0
NCU;30011;15;16;U16;macAddress1;0;0
NCU;30012;15;16;U16;macAddress0;0;0
NCU;37000;31;32;F32;WindAlarmOnThr_mps_1;0;0
NCU;37002;31;32;F32;WindAlarmOffThr_mps_1;0;0
NCU;37004;15;16;U16;WindAlarmOnTime_s_1;0;0
NCU;37005;15;16;U16;WindAlarmOffTime_s_1;0;0
NCU;37006;31;32;F32;WindLevel1Thr_mps_1;0;0
NCU;37008;31;32;F32;WindLevel2Thr_mps_1;0;0
NCU;37010;31;32;F32;WindLevel3Thr_mps_1;0;0
NCU;37012;31;32;F32;WindLevel4Thr_mps_1;0;0
NCU;37014;31;32;F32;WindLevel5Thr_mps_1;0;0
NCU;37016;31;32;F32;WindLevel6Thr_mps_1;0;0
NCU;37018;31;32;F32;WindLevel7Thr_mps_1;0;0
NCU;37020;15;16;U16;WindLevel1OnTime_s_1;0;0
NCU;37021;15;16;U16;WindLevel2OnTime_s_1;0;0
NCU;37022;15;16;U16;WindLevel3OnTime_s_1;0;0
NCU;37023;15;16;U16;WindLevel4OnTime_s_1;0;0
NCU;37024;15;16;U16;WindLevel5OnTime_s_1;0;0
NCU;37025;15;16;U16;WindLevel6OnTime_s_1;0;0
NCU;37026;15;16;U16;WindLevel7OnTime_s_1;0;0
NCU;37027;15;16;U16;WindLevel1OffTime_s_1;0;0
NCU;37028;15;16;U16;WindLevel2OffTime_s_1;0;0
NCU;37029;15;16;U16;WindLevel3OffTime_s_1;0;0
NCU;37030;15;16;U16;WindLevel4OffTime_s_1;0;0
NCU;37031;15;16;U16;WindLevel5OffTime_s_1;0;0
NCU;37032;15;16;U16;WindLevel6OffTime_s_1;0;0
NCU;37033;15;16;U16;WindLevel7OffTime_s_1;0;0
NCU;37036;15;16;U16;WindHighTime_s_1;0;0
NCU;37037;15;16;U16;GustyWindTime_s_1;0;0
NCU;37038;15;16;U16;GustyWindNum_1;0;0
NCU;37034;31;32;F32;WindSpeedHigh_mps_1;0;0
NCU;36240;15;16;U16;Second_day_31;0;0
NCU;36241;15;16;U16;Minute_day_31;0;0
NCU;36242;15;16;U16;Hour_day_31;0;0
NCU;36243;15;16;U16;Day_day_31;0;0
NCU;36244;15;16;U16;Month_day_31;0;0
NCU;36245;15;16;U16;Year_day_31;0;0
