address;start_bit;n_bit;type;var_name;Range;unit;Battery;;
29380;31;32;U32;lastValidWind_rsu1;;;;;
29440;31;32;U32;lastComm_rsu1;;;;;
30201;15;16;U16;MSRHigh_rsu1;;;;;
30202;15;16;U16;Alarms1_rsu1;;;;;
30203;31;32;F32;WindSpeed_mps_rsu1;;m/s;;;
30209;4;1;B;TempLow_rsu1;;;;;
30209;5;1;B;TempHigh_rsu1;;;;;
36240;15;16;U16;Second_day_31;;;;;
36241;15;16;U16;Minute_day_31;;;;;
36242;15;16;U16;Hour_day_31;;;;;
36243;15;16;U16;Day_day_31;;;;;
36244;15;16;U16;Month_day_31;;;;;
36245;15;16;U16;Year_day_31;;;;;
36246;15;16;U16;WindDirection_day_31;;;;;
36247;15;16;U16;WindSpeed_day_31;;;;;
37000;31;32;F32;WindAlarmOnThr_mps_1;;m/s;;;
37002;31;32;F32;WindAlarmOffThr_mps_1;;m/s;;;
37004;15;16;U16;WindAlarmOnTime_s_1;;s;;;
37005;15;16;U16;WindAlarmOffTime_s_1;;s;;;
37006;31;32;F32;WindLevel1Thr_mps_1;;m/s;;;
37008;31;32;F32;WindLevel2Thr_mps_1;;m/s;;;
37010;31;32;F32;WindLevel3Thr_mps_1;;m/s;;;
37012;31;32;F32;WindLevel4Thr_mps_1;;m/s;;;
37014;31;32;F32;WindLevel5Thr_mps_1;;m/s;;;
37016;31;32;F32;WindLevel6Thr_mps_1;;m/s;;;
37018;31;32;F32;WindLevel7Thr_mps_1;;m/s;;;
37020;15;16;U16;WindLevel1OnTime_s_1;;s;;;
37021;15;16;U16;WindLevel2OnTime_s_1;;s;;;
37022;15;16;U16;WindLevel3OnTime_s_1;;s;;;
37023;15;16;U16;WindLevel4OnTime_s_1;;s;;;
37024;15;16;U16;WindLevel5OnTime_s_1;;s;;;
37025;15;16;U16;WindLevel6OnTime_s_1;;s;;;
37026;15;16;U16;WindLevel7OnTime_s_1;;s;;;
37027;15;16;U16;WindLevel1OffTime_s_1;;s;;;
37028;15;16;U16;WindLevel2OffTime_s_1;;s;;;
37029;15;16;U16;WindLevel3OffTime_s_1;;s;;;
37030;15;16;U16;WindLevel4OffTime_s_1;;s;;;
37031;15;16;U16;WindLevel5OffTime_s_1;;s;;;
37032;15;16;U16;WindLevel6OffTime_s_1;;s;;;
37033;15;16;U16;WindLevel7OffTime_s_1;;s;;;
37034;31;32;F32;WindSpeedHigh_mps_1;;m/s;;;
37036;15;16;U16;WindHighTime_s_1;;s;;;
37037;15;16;U16;GustyWindTime_s_1;;s;;;
37038;15;16;U16;GustyWindNum_1;;;;;
